N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
95,일진머티리얼즈,"68,000","1,100",+1.64%,500,"31,355","46,111",9.06,"436,707",70.54,8.52,
96,에스원,"82,300",400,-0.48%,500,"31,273","37,999",56.12,"32,859",22.01,10.48,
97,대우조선해양,"29,050",600,+2.11%,"5,000","31,168","107,291",9.08,"1,767,189",36.00,2.27,
98,한국가스공사,"33,300",500,+1.52%,"5,000","30,740","92,313",9.06,"344,624",-17.86,-2.24,
99,SK케미칼,"258,500","11,500",-4.26%,"5,000","30,352","11,741",20.26,"198,006",13.42,30.49,
100,만도,"64,600","1,800",-2.71%,"1,000","30,334","46,957",24.14,"564,771",525.20,0.37,
101,메리츠증권,"4,365",5,-0.11%,"1,000","29,506","675,962",14.45,"1,396,622",5.35,15.06,
102,더존비즈온,"97,300","2,700",-2.70%,500,"29,463","30,280",44.50,"248,408",53.88,15.09,
103,GS리테일,"38,150",500,-1.29%,"1,000","29,376","77,000",15.54,"181,484",17.44,7.50,
104,LG화학우,"375,000","3,000",+0.81%,"5,000","28,833","7,689",63.80,"18,849",57.26,N/A,
105,OCI,"119,000","8,000",+7.21%,"5,000","28,381","23,849",18.41,"698,839",-11.53,-9.89,
106,대우건설,"6,770",300,+4.64%,"5,000","28,138","415,623",9.02,"10,481,517",9.91,11.06,
107,BGF리테일,"160,500","3,000",-1.83%,"1,000","27,741","17,284",32.26,"31,880",22.61,18.60,
108,삼성엔지니어링,"13,950",250,+1.82%,"5,000","27,342","196,000",24.67,"3,524,451",11.17,16.75,
109,한샘,"116,000","2,000",+1.75%,"1,000","27,299","23,534",24.03,"144,887",41.95,10.83,
110,신세계,"277,000","4,500",-1.60%,"5,000","27,271","9,845",25.82,"53,193",-26.35,-2.81,
111,CJ,"93,400",800,-0.85%,"5,000","27,251","29,177",18.97,"63,410",15.51,6.24,
112,한솔케미칼,"236,500","7,000",-2.87%,"5,000","26,808","11,335",40.02,"82,592",21.77,24.50,
113,휠라홀딩스,"43,850",800,-1.79%,"1,000","26,640","60,752",44.88,"514,815",19.18,10.94,
114,하이트진로,"37,450",800,-2.09%,"5,000","26,265","70,134",7.43,"438,112",30.80,8.23,
115,한화생명,"2,980",55,-1.81%,"5,000","25,882","868,530",6.84,"3,507,396",11.00,1.90,
116,현대미포조선,"64,600",900,+1.41%,"5,000","25,803","39,942",13.50,"1,073,660",-132.38,-0.84,
117,현대오토에버,"120,500","4,500",-3.60%,500,"25,305","21,000",2.14,"56,347",42.90,11.09,
118,TIGER 200,"41,675",100,-0.24%,0,"25,109","60,250",0.00,"614,497",N/A,N/A,
119,제일기획,"21,700",350,+1.64%,200,"24,964","115,041",32.71,"582,965",15.86,16.11,
120,포스코인터내셔널,"20,000",450,-2.20%,"5,000","24,675","123,375",9.72,"1,735,310",10.34,7.69,
121,효성티앤씨,"570,000","41,000",-6.71%,"5,000","24,668","4,328",19.14,"166,458",18.03,25.10,
122,두산인프라코어,"11,250","1,000",+9.76%,"5,000","24,363","216,564",8.71,"22,311,845",15.91,6.47,
123,DB하이텍,"54,400",900,-1.63%,"5,000","24,153","44,399",18.18,"489,889",14.58,23.07,
124,현대차우,"98,600",300,-0.30%,"5,000","24,016","24,357",56.68,"116,560",19.17,N/A,
125,DL이앤씨,"124,000",500,-0.40%,"5,000","24,005","19,359",20.27,"289,156",N/A,N/A,
126,한화,"30,500",300,+0.99%,"5,000","22,862","74,959",19.60,"408,670",13.97,4.79,
127,현대로템,"20,400",150,-0.73%,"5,000","22,265","109,142",5.88,"1,265,526",62.77,2.84,
